Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:04:03,2018-07-26 15:04:42,38.775s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:04:04,2018-07-26 15:04:41,37.880s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:04,2018-07-26 15:04:28,23.699s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:04:28,2018-07-26 15:04:33,5.692s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:33,2018-07-26 15:04:33,0.115s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:04:33,2018-07-26 15:04:34,0.112s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:04:34,2018-07-26 15:04:34,0.257s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:34,2018-07-26 15:04:38,3.987s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:38,2018-07-26 15:04:39,1.544s,PASSED
