Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 13:06:21,2018-07-26 13:06:59,37.517s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 13:06:22,2018-07-26 13:06:58,36.594s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:06:22,2018-07-26 13:06:46,23.787s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:06:46,2018-07-26 13:06:50,4.523s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:50,2018-07-26 13:06:50,0.114s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:06:50,2018-07-26 13:06:51,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:06:51,2018-07-26 13:06:51,0.252s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:51,2018-07-26 13:06:55,3.899s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:55,2018-07-26 13:06:56,1.430s,PASSED
