Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 13:02:56,2018-07-26 13:03:34,37.803s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 13:02:56,2018-07-26 13:03:33,36.932s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:02:57,2018-07-26 13:03:20,23.754s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:03:20,2018-07-26 13:03:25,4.776s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:03:25,2018-07-26 13:03:25,0.112s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:03:25,2018-07-26 13:03:25,0.100s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:03:25,2018-07-26 13:03:26,0.239s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:03:26,2018-07-26 13:03:28,2.292s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:03:28,2018-07-26 13:03:31,3.217s,PASSED
