Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 13:05:30,2018-07-26 13:06:08,38.317s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 13:05:30,2018-07-26 13:06:08,37.460s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:05:31,2018-07-26 13:05:54,23.709s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:05:54,2018-07-26 13:06:00,5.386s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:00,2018-07-26 13:06:00,0.104s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:06:00,2018-07-26 13:06:00,0.110s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:06:00,2018-07-26 13:06:00,0.257s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:00,2018-07-26 13:06:02,2.205s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:06:02,2018-07-26 13:06:06,3.238s,PASSED
