Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:22:04,2018-07-26 15:22:42,37.587s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:22:04,2018-07-26 15:22:41,36.702s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:05,2018-07-26 15:22:28,23.667s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:22:28,2018-07-26 15:22:33,4.631s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:33,2018-07-26 15:22:33,0.103s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:33,2018-07-26 15:22:33,0.104s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:22:33,2018-07-26 15:22:33,0.251s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:33,2018-07-26 15:22:37,4.039s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:37,2018-07-26 15:22:39,1.458s,PASSED
