Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 13:04:38,2018-07-26 13:05:16,37.805s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 13:04:39,2018-07-26 13:05:15,36.887s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:04:39,2018-07-26 13:05:03,23.674s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:05:03,2018-07-26 13:05:07,4.859s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:07,2018-07-26 13:05:08,0.103s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:05:08,2018-07-26 13:05:08,0.104s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:05:08,2018-07-26 13:05:08,0.252s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:08,2018-07-26 13:05:10,2.232s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:05:10,2018-07-26 13:05:13,3.213s,PASSED
