Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 15:03:26,2018-07-24 15:04:26,59.806s,FAILED
,,,,,,
Test Cases/Login/Testcase1,Chrome 67.0.3396.99,,2018-07-24 15:03:27,2018-07-24 15:03:57,30.077s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:03:27,2018-07-24 15:03:51,23.861s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:03:51,2018-07-24 15:03:52,1.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:03:52,2018-07-24 15:03:53,0.526s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:03:53,2018-07-24 15:03:53,0.164s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:03:53,2018-07-24 15:03:53,0.307s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:03:53,2018-07-24 15:03:54,1.089s,PASSED
acceptAlert,Chrome 67.0.3396.99,,2018-07-24 15:03:54,2018-07-24 15:03:55,0.596s,FAILED
,,,,,,
Test Cases/Login/testcase2,Chrome 67.0.3396.99,,2018-07-24 15:03:57,2018-07-24 15:04:26,28.717s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:03:57,2018-07-24 15:04:21,23.699s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:04:21,2018-07-24 15:04:21,0.641s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:21,2018-07-24 15:04:22,0.445s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:04:22,2018-07-24 15:04:22,0.192s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:04:22,2018-07-24 15:04:22,0.146s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:22,2018-07-24 15:04:23,1.089s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:04:23,2018-07-24 15:04:24,0.284s,PASSED
