Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 51.0,,2018-07-24 17:45:02,2018-07-24 17:46:17,1m - 14.417s,FAILED
,,,,,,
Test Cases/Login/Testcase1,Firefox 51.0,,2018-07-24 17:45:03,2018-07-24 17:45:43,40.160s,FAILED
openBrowser,Firefox 51.0,,2018-07-24 17:45:03,2018-07-24 17:45:33,30.018s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 17:45:33,2018-07-24 17:45:34,0.927s,PASSED
click,Firefox 51.0,,2018-07-24 17:45:34,2018-07-24 17:45:35,0.677s,PASSED
setText,Firefox 51.0,,2018-07-24 17:45:35,2018-07-24 17:45:35,0.128s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-24 17:45:35,2018-07-24 17:45:35,0.275s,PASSED
click,Firefox 51.0,,2018-07-24 17:45:35,2018-07-24 17:45:36,1.055s,PASSED
acceptAlert,Firefox 51.0,,2018-07-24 17:45:36,2018-07-24 17:45:41,4.527s,FAILED
,,,,,,
Test Cases/Login/testcase2,Firefox 51.0,,2018-07-24 17:45:43,2018-07-24 17:46:17,33.746s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 17:45:43,2018-07-24 17:46:11,28.099s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 17:46:11,2018-07-24 17:46:12,1.150s,PASSED
click,Firefox 51.0,,2018-07-24 17:46:12,2018-07-24 17:46:13,0.650s,PASSED
setText,Firefox 51.0,,2018-07-24 17:46:13,2018-07-24 17:46:13,0.101s,PASSED
setText,Firefox 51.0,,2018-07-24 17:46:13,2018-07-24 17:46:13,0.125s,PASSED
click,Firefox 51.0,,2018-07-24 17:46:13,2018-07-24 17:46:14,1.096s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 17:46:14,2018-07-24 17:46:14,0.348s,PASSED
