Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 14:59:43,2018-07-26 15:00:23,39.300s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 14:59:44,2018-07-26 15:00:22,38.036s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 14:59:44,2018-07-26 15:00:08,23.773s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:00:08,2018-07-26 15:00:13,5.688s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:00:13,2018-07-26 15:00:14,0.110s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:00:14,2018-07-26 15:00:14,0.126s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:00:14,2018-07-26 15:00:14,0.271s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:00:14,2018-07-26 15:00:18,4.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:00:18,2018-07-26 15:00:20,1.423s,PASSED
