Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 13:03:47,2018-07-26 13:04:25,37.681s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 13:03:47,2018-07-26 13:04:24,36.753s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:03:48,2018-07-26 13:04:12,23.697s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:04:12,2018-07-26 13:04:16,4.711s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:04:16,2018-07-26 13:04:16,0.105s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:04:16,2018-07-26 13:04:16,0.104s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:04:16,2018-07-26 13:04:17,0.253s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:04:17,2018-07-26 13:04:19,2.302s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:04:19,2018-07-26 13:04:22,3.115s,PASSED
