Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:23:34,2018-07-26 15:24:11,37.504s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:23:34,2018-07-26 15:24:11,36.600s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:23:34,2018-07-26 15:23:58,23.677s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:23:58,2018-07-26 15:24:03,4.681s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:03,2018-07-26 15:24:03,0.099s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:24:03,2018-07-26 15:24:03,0.099s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:24:03,2018-07-26 15:24:03,0.241s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:03,2018-07-26 15:24:07,3.944s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:07,2018-07-26 15:24:09,1.440s,PASSED
