Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:17:34,2018-07-26 15:18:11,37.619s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:17:34,2018-07-26 15:18:11,36.679s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:34,2018-07-26 15:17:58,23.708s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:17:58,2018-07-26 15:18:03,4.467s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:18:03,2018-07-26 15:18:03,0.122s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:18:03,2018-07-26 15:18:03,0.137s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:18:03,2018-07-26 15:18:03,0.255s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:18:03,2018-07-26 15:18:07,4.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:18:07,2018-07-26 15:18:09,1.427s,PASSED
