Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:24:25,2018-07-26 15:25:03,37.405s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:24:25,2018-07-26 15:25:02,36.527s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:24:26,2018-07-26 15:24:49,23.664s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:24:49,2018-07-26 15:24:54,4.412s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:54,2018-07-26 15:24:54,0.103s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:24:54,2018-07-26 15:24:54,0.103s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:24:54,2018-07-26 15:24:54,0.252s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:54,2018-07-26 15:24:58,4.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:58,2018-07-26 15:25:00,1.478s,PASSED
