Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 51.0,,2018-07-24 13:02:55,2018-07-24 13:04:07,1m - 11.213s,FAILED
,,,,,,
Test Cases/Login/Testcase1,Firefox 51.0,,2018-07-24 13:02:56,2018-07-24 13:03:33,37.897s,FAILED
openBrowser,Firefox 51.0,,2018-07-24 13:02:56,2018-07-24 13:03:26,30.045s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 13:03:26,2018-07-24 13:03:27,0.925s,PASSED
click,Firefox 51.0,,2018-07-24 13:03:27,2018-07-24 13:03:28,0.676s,PASSED
setText,Firefox 51.0,,2018-07-24 13:03:28,2018-07-24 13:03:28,0.132s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-24 13:03:28,2018-07-24 13:03:28,0.310s,PASSED
click,Firefox 51.0,,2018-07-24 13:03:28,2018-07-24 13:03:29,1.128s,PASSED
acceptAlert,Firefox 51.0,,2018-07-24 13:03:29,2018-07-24 13:03:33,4.364s,FAILED
,,,,,,
Test Cases/Login/testcase2,Firefox 51.0,,2018-07-24 13:03:33,2018-07-24 13:04:06,32.754s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 13:03:34,2018-07-24 13:04:03,29.243s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 13:04:03,2018-07-24 13:04:04,0.922s,PASSED
click,Firefox 51.0,,2018-07-24 13:04:04,2018-07-24 13:04:04,0.656s,PASSED
setText,Firefox 51.0,,2018-07-24 13:04:04,2018-07-24 13:04:05,0.106s,PASSED
setText,Firefox 51.0,,2018-07-24 13:04:05,2018-07-24 13:04:05,0.119s,PASSED
click,Firefox 51.0,,2018-07-24 13:04:05,2018-07-24 13:04:06,1.192s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 13:04:06,2018-07-24 13:04:06,0.349s,PASSED
