Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 17:44:02,2018-07-24 17:45:01,59.424s,FAILED
,,,,,,
Test Cases/Login/Testcase1,Chrome 67.0.3396.99,,2018-07-24 17:44:02,2018-07-24 17:44:32,29.660s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:44:02,2018-07-24 17:44:26,23.733s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:44:26,2018-07-24 17:44:27,0.714s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:27,2018-07-24 17:44:27,0.505s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:44:27,2018-07-24 17:44:27,0.164s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:44:27,2018-07-24 17:44:28,0.326s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:28,2018-07-24 17:44:29,1.147s,PASSED
acceptAlert,Chrome 67.0.3396.99,,2018-07-24 17:44:29,2018-07-24 17:44:30,0.623s,FAILED
,,,,,,
Test Cases/Login/testcase2,Chrome 67.0.3396.99,,2018-07-24 17:44:32,2018-07-24 17:45:00,28.748s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:44:32,2018-07-24 17:44:55,23.604s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:44:55,2018-07-24 17:44:56,0.710s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:56,2018-07-24 17:44:56,0.485s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:44:56,2018-07-24 17:44:57,0.136s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:44:57,2018-07-24 17:44:57,0.119s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:57,2018-07-24 17:44:58,1.153s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:44:58,2018-07-24 17:44:58,0.311s,PASSED
