Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:20:09,2018-07-26 15:20:47,37.732s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:20:09,2018-07-26 15:20:46,36.833s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:20:10,2018-07-26 15:20:33,23.721s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:20:33,2018-07-26 15:20:38,4.593s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:20:38,2018-07-26 15:20:38,0.100s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:20:38,2018-07-26 15:20:38,0.115s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:20:38,2018-07-26 15:20:39,0.263s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:20:39,2018-07-26 15:20:43,4.151s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:20:43,2018-07-26 15:20:44,1.438s,PASSED
