Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite3,Chrome 67.0.3396.99,,2018-07-26 15:07:03,2018-07-26 15:07:41,37.781s,PASSED
,,,,,,
Test Cases/test2,Chrome 67.0.3396.99,,2018-07-26 15:07:04,2018-07-26 15:07:41,36.910s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:04,2018-07-26 15:07:28,23.619s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:07:28,2018-07-26 15:07:33,4.907s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:33,2018-07-26 15:07:33,0.116s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:07:33,2018-07-26 15:07:33,0.117s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:07:33,2018-07-26 15:07:33,0.267s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:33,2018-07-26 15:07:37,4.071s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:37,2018-07-26 15:07:39,1.400s,PASSED
