Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 51.0,,2018-07-24 15:04:28,2018-07-24 15:05:41,1m - 13.626s,FAILED
,,,,,,
Test Cases/Login/Testcase1,Firefox 51.0,,2018-07-24 15:04:28,2018-07-24 15:05:08,39.486s,FAILED
openBrowser,Firefox 51.0,,2018-07-24 15:04:29,2018-07-24 15:04:58,29.342s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:04:58,2018-07-24 15:04:59,0.946s,PASSED
click,Firefox 51.0,,2018-07-24 15:04:59,2018-07-24 15:05:00,0.665s,PASSED
setText,Firefox 51.0,,2018-07-24 15:05:00,2018-07-24 15:05:00,0.150s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-24 15:05:00,2018-07-24 15:05:00,0.275s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:00,2018-07-24 15:05:01,1.173s,PASSED
acceptAlert,Firefox 51.0,,2018-07-24 15:05:01,2018-07-24 15:05:06,4.374s,FAILED
,,,,,,
Test Cases/Login/testcase2,Firefox 51.0,,2018-07-24 15:05:08,2018-07-24 15:05:41,33.577s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 15:05:08,2018-07-24 15:05:36,28.183s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:05:36,2018-07-24 15:05:37,0.956s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:37,2018-07-24 15:05:38,0.622s,PASSED
setText,Firefox 51.0,,2018-07-24 15:05:38,2018-07-24 15:05:38,0.117s,PASSED
setText,Firefox 51.0,,2018-07-24 15:05:38,2018-07-24 15:05:38,0.125s,PASSED
click,Firefox 51.0,,2018-07-24 15:05:38,2018-07-24 15:05:39,1.036s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 15:05:39,2018-07-24 15:05:39,0.322s,PASSED
